s/n,Age,Gender,Country,self_employed,family_history,treatment,no_employees,wellness_program,leave,care_options,obs_consequence,Continents,YearMonth
33,41-50,Male,United States,No,Yes,Yes,26-100,Yes,Very easy,Yes,No,North America,2014-08
34,31-40,Female,United States,No,No,Yes,Less than 26,No,Don't know,Yes,No,North America,2014-08
35,21-30,Male,United States,No,No,Yes,Less than 26,No,Very easy,Yes,No,North America,2014-08
36,21-30,Male,Canada,No,No,No,Less than 26,No,Very easy,No,No,North America,2014-08
37,31-40,Male,Portugal,No,No,No,100-500,No,Somewhat easy,Yes,No,Europe,2014-08
38,41-50,Male,United States,No,No,No,100-500,No,Don't know,Yes,No,North America,2014-08
39,31-40,Male,United States,No,No,Yes,More than 1000,No,Very easy,Yes,No,North America,2014-08
40,21-30,Male,United Kingdom,No,No,Yes,Less than 26,No,Don't know,No,Yes,Europe,2014-08
41,31-40,Male,United States,No,No,No,More than 1000,Don't know,Somewhat difficult,Not sure,No,North America,2014-08
42,21-30,Male,Canada,No,Yes,Yes,Less than 26,No,Very difficult,Yes,No,North America,2014-08
43,20 down,Male,Netherlands,No,No,No,Less than 26,No,Somewhat difficult,Not sure,No,Europe,2014-08
44,21-30,Male,United States,No,No,Yes,26-100,No,Don't know,No,No,North America,2014-08
45,31-40,Female,United States,No,Yes,Yes,26-100,No,Somewhat easy,Yes,No,North America,2014-08
46,21-30,Male,United Kingdom,No,No,No,26-100,No,Don't know,Not sure,No,Europe,2014-08
47,31-40,Male,United States,No,No,No,Less than 26,No,Don't know,No,No,North America,2014-08
48,21-30,Male,Canada,Yes,No,No,Less than 26,Yes,Don't know,Yes,No,North America,2014-08
49,21-30,Male,United States,No,Yes,Yes,26-100,No,Don't know,No,No,North America,2014-08
50,21-30,Male,United States,No,Yes,Yes,Less than 26,No,Very difficult,Yes,No,North America,2014-08
51,31-40,Male,United States,No,No,No,100-500,Don't know,Don't know,Not sure,No,North America,2014-08
52,31-40,Male,United States,No,No,No,100-500,Don't know,Don't know,No,No,North America,2014-08
53,31-40,Male,United States,No,No,No,Less than 26,No,Don't know,Not sure,No,North America,2014-08
54,21-30,Male,Switzerland,No,No,No,100-500,No,Don't know,No,No,Europe,2014-08
55,21-30,Male,United States,No,Yes,Yes,26-100,No,Don't know,Yes,No,North America,2014-08
56,31-40,Male,United States,No,Yes,No,Less than 26,No,Somewhat easy,No,No,North America,2014-08
57,21-30,Male,United States,No,Yes,Yes,26-100,No,Don't know,No,No,North America,2014-08
58,21-30,Male,United States,No,No,No,26-100,No,Somewhat easy,No,No,North America,2014-08
59,31-40,Male,Canada,No,Yes,Yes,Less than 26,No,Somewhat difficult,No,No,North America,2014-08
60,41-50,Male,United States,No,Yes,Yes,More than 1000,No,Don't know,No,Yes,North America,2014-08
61,21-30,Female,Poland,No,No,Yes,26-100,Yes,Very easy,Not sure,No,Europe,2014-08
62,21-30,Male,United Kingdom,No,No,No,100-500,No,Somewhat easy,Not sure,No,Europe,2014-08
63,21-30,Male,France,No,No,No,26-100,No,Very easy,No,Yes,Europe,2014-08
64,31-40,Male,Canada,No,No,No,Less than 26,No,Somewhat easy,No,No,North America,2014-08
65,31-40,Male,United States,No,Yes,No,More than 1000,Yes,Don't know,Yes,Yes,North America,2014-08
66,21-30,Female,Australia,No,Yes,Yes,Less than 26,No,Very easy,Not sure,No,Oceania,2014-08
67,31-40,Male,United States,No,No,No,100-500,Don't know,Don't know,No,No,North America,2014-08
68,31-40,Female,United States,No,No,No,26-100,Don't know,Don't know,No,No,North America,2014-08
69,31-40,Male,United States,Yes,No,No,Less than 26,No,Don't know,No,No,North America,2014-08
70,21-30,Male,France,No,No,No,26-100,No,Don't know,No,No,Europe,2014-08
71,31-40,Male,Canada,No,No,No,Less than 26,Don't know,Somewhat easy,Not sure,No,North America,2014-08
72,21-30,Female,United States,No,No,No,More than 1000,No,Somewhat difficult,Yes,No,North America,2014-08
73,31-40,Male,United Kingdom,No,No,No,26-100,No,Somewhat easy,No,No,Europe,2014-08
74,31-40,Male,United States,No,No,No,More than 1000,Yes,Don't know,Not sure,No,North America,2014-08
75,20 down,Male,United Kingdom,No,No,No,Less than 26,No,Somewhat difficult,Yes,No,Europe,2014-08
76,21-30,Male,United States,No,No,No,More than 1000,Yes,Don't know,Yes,No,North America,2014-08
77,31-40,Male,United States,Yes,Yes,No,Less than 26,No,Somewhat difficult,No,No,North America,2014-08
78,31-40,Male,United States,No,Yes,Yes,26-100,No,Somewhat difficult,No,No,North America,2014-08
79,21-30,Male,Germany,No,No,No,Less than 26,Don't know,Very easy,No,No,Europe,2014-08
80,31-40,Male,United States,No,Yes,No,100-500,No,Don't know,Yes,No,North America,2014-08
81,21-30,Male,United Kingdom,No,No,No,26-100,Yes,Very easy,Not sure,No,Europe,2014-08
82,21-30,Male,Canada,No,No,No,26-100,No,Don't know,No,No,North America,2014-08
83,21-30,Female,United States,Yes,No,Yes,Less than 26,Yes,Very easy,Yes,No,North America,2014-08
84,31-40,Male,United States,No,Yes,No,More than 1000,No,Don't know,No,No,North America,2014-08
85,31-40,Male,United States,No,No,No,26-100,No,Don't know,Not sure,No,North America,2014-08
86,31-40,Male,United Kingdom,Yes,No,Yes,Less than 26,No,Very difficult,No,Yes,Europe,2014-08
87,31-40,Female,United States,No,Yes,Yes,500-1000,No,Don't know,Not sure,No,North America,2014-08
88,21-30,Female,United States,No,No,Yes,26-100,No,Don't know,Yes,Yes,North America,2014-08
89,31-40,Male,United States,No,No,No,500-1000,No,Don't know,No,No,North America,2014-08
90,31-40,Male,United States,No,No,No,500-1000,Yes,Somewhat easy,Yes,No,North America,2014-08
91,31-40,Male,United States,No,No,Yes,26-100,No,Very difficult,Yes,No,North America,2014-08
92,31-40,Male,United States,No,No,No,26-100,No,Somewhat easy,No,No,North America,2014-08
93,20 down,Male,Russia,No,No,No,26-100,No,Somewhat easy,Yes,No,Europe,2014-08
94,21-30,Female,Canada,No,No,Yes,26-100,No,Don't know,Yes,No,North America,2014-08
95,21-30,Male,United States,No,No,No,26-100,No,Don't know,No,No,North America,2014-08
96,21-30,Male,United States,No,Yes,No,26-100,No,Somewhat easy,Not sure,No,North America,2014-08
97,31-40,Male,Mexico,No,Yes,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
98,31-40,Male,United States,No,No,Yes,Less than 26,No,Somewhat easy,Yes,No,North America,2014-08
99,21-30,Male,United States,No,No,Yes,Less than 26,No,Somewhat easy,Yes,No,North America,2014-08
100,21-30,Female,Canada,No,Yes,Yes,26-100,No,Very difficult,Yes,Yes,North America,2014-08
101,41-50,Female,United States,No,No,No,100-500,Don't know,Don't know,Not sure,No,North America,2014-08
102,21-30,Male,United States,No,Yes,No,26-100,Don't know,Very easy,No,No,North America,2014-08
103,31-40,Male,United States,No,Yes,Yes,26-100,Yes,Somewhat easy,Yes,No,North America,2014-08
104,21-30,Male,United States,No,No,No,More than 1000,Yes,Somewhat easy,Not sure,No,North America,2014-08
105,31-40,Male,United States,No,Yes,No,Less than 26,No,Somewhat easy,Not sure,No,North America,2014-08
106,31-40,Male,United States,No,Yes,Yes,26-100,No,Somewhat easy,Not sure,No,North America,2014-08
107,21-30,Male,Brazil,No,Yes,Yes,Less than 26,No,Don't know,No,Yes,South America,2014-08
108,31-40,Male,United States,No,Yes,No,Less than 26,No,Don't know,No,No,North America,2014-08
109,31-40,Male,United States,No,No,Yes,26-100,Yes,Somewhat difficult,No,No,North America,2014-08
110,21-30,Male,United States,No,No,Yes,500-1000,No,Don't know,Yes,No,North America,2014-08
111,21-30,Male,United States,No,No,Yes,26-100,Yes,Somewhat easy,Yes,No,North America,2014-08
112,41-50,Male,United States,No,Yes,Yes,Less than 26,No,Very easy,Yes,No,North America,2014-08
113,31-40,Male,United States,No,No,No,100-500,No,Don't know,Yes,No,North America,2014-08
114,21-30,Male,United States,No,No,No,More than 1000,No,Don't know,No,No,North America,2014-08
115,21-30,Male,United Kingdom,No,No,No,Less than 26,No,Very easy,No,Yes,Europe,2014-08
116,21-30,Male,United Kingdom,Yes,No,No,Less than 26,No,Very difficult,Yes,No,Europe,2014-08
117,21-30,Male,Canada,No,No,No,Less than 26,Yes,Very easy,Yes,No,North America,2014-08
118,20 down,Male,United States,No,No,Yes,Less than 26,No,Very easy,No,No,North America,2014-08
119,31-40,Male,United States,No,No,No,26-100,No,Don't know,Not sure,No,North America,2014-08
120,21-30,Male,United States,No,No,No,More than 1000,No,Don't know,Yes,No,North America,2014-08
121,21-30,Male,United States,No,No,No,26-100,No,Very easy,No,No,North America,2014-08
122,31-40,Male,United States,No,Yes,Yes,Less than 26,Don't know,Very easy,No,No,North America,2014-08
123,31-40,Male,United States,No,No,No,Less than 26,No,Don't know,No,No,North America,2014-08
124,21-30,Male,Canada,No,No,Yes,100-500,No,Very difficult,Not sure,Yes,North America,2014-08
125,21-30,Male,United States,No,Yes,No,500-1000,Yes,Don't know,No,No,North America,2014-08
126,21-30,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
127,31-40,Male,United States,No,No,Yes,100-500,No,Don't know,Yes,No,North America,2014-08
128,31-40,Male,United Kingdom,No,Yes,No,Less than 26,No,Somewhat easy,No,No,Europe,2014-08
129,20 down,Male,Slovenia,No,No,Yes,Less than 26,No,Somewhat easy,No,No,Europe,2014-08
130,31-40,Male,United States,No,Yes,Yes,More than 1000,No,Very easy,Yes,No,North America,2014-08
131,31-40,Male,United States,No,No,No,Less than 26,No,Very difficult,Yes,No,North America,2014-08
132,21-30,Male,United States,No,No,No,26-100,Don't know,Don't know,Not sure,No,North America,2014-08
133,31-40,Male,Costa Rica,No,No,No,26-100,No,Somewhat easy,Yes,No,North America,2014-08
134,21-30,Male,Canada,No,No,Yes,26-100,No,Don't know,No,No,North America,2014-08
135,31-40,Male,United Kingdom,No,No,No,26-100,No,Don't know,No,No,Europe,2014-08
136,21-30,Male,United Kingdom,No,No,No,Less than 26,No,Very easy,No,No,Europe,2014-08
137,31-40,Male,United States,No,No,Yes,More than 1000,No,Somewhat easy,Not sure,No,North America,2014-08
138,21-30,Female,United States,No,No,No,Less than 26,No,Somewhat easy,No,No,North America,2014-08
139,21-30,Male,Austria,No,No,No,Less than 26,Don't know,Somewhat easy,No,No,Europe,2014-08
140,31-40,Male,United States,No,Yes,Yes,100-500,Don't know,Don't know,No,No,North America,2014-08
141,31-40,Male,United Kingdom,Yes,No,Yes,More than 1000,Yes,Very difficult,Yes,No,Europe,2014-08
142,31-40,Male,United States,No,No,No,26-100,Don't know,Don't know,Not sure,No,North America,2014-08
143,20 down,Male,United States,No,No,No,More than 1000,Don't know,Don't know,No,No,North America,2014-08
144,21-30,Female,United States,No,Yes,No,More than 1000,No,Don't know,Not sure,No,North America,2014-08
145,31-40,Male,United States,No,Yes,Yes,100-500,Yes,Somewhat easy,Yes,No,North America,2014-08
146,21-30,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
147,21-30,Male,United States,No,No,No,Less than 26,No,Somewhat easy,No,No,North America,2014-08
148,21-30,Male,Ireland,No,No,Yes,100-500,Yes,Somewhat easy,Yes,Yes,Europe,2014-08
149,21-30,Female,United States,No,No,No,100-500,No,Don't know,Not sure,No,North America,2014-08
150,20 down,Male,Canada,Yes,Yes,No,Less than 26,No,Somewhat easy,Not sure,No,North America,2014-08
151,31-40,Male,United States,No,Yes,No,26-100,No,Very easy,Not sure,No,North America,2014-08
152,21-30,Male,Poland,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
153,31-40,Male,United States,No,No,No,Less than 26,Don't know,Don't know,Not sure,No,North America,2014-08
154,31-40,Male,United Kingdom,No,Yes,Yes,More than 1000,Yes,Somewhat difficult,Yes,Yes,Europe,2014-08
155,21-30,Male,United States,No,Yes,Yes,26-100,No,Somewhat difficult,No,No,North America,2014-08
156,21-30,Male,United States,No,Yes,Yes,More than 1000,No,Don't know,No,No,North America,2014-08
157,21-30,Male,United States,No,No,No,26-100,No,Don't know,Not sure,No,North America,2014-08
158,21-30,Male,United States,No,No,Yes,26-100,No,Somewhat difficult,Yes,Yes,North America,2014-08
159,21-30,Male,United States,No,Yes,Yes,26-100,No,Very easy,Not sure,Yes,North America,2014-08
160,31-40,Male,United Kingdom,No,No,Yes,More than 1000,Yes,Somewhat easy,Yes,Yes,Europe,2014-08
161,21-30,Female,United States,No,Yes,Yes,500-1000,No,Don't know,No,No,North America,2014-08
162,31-40,Male,United States,No,No,No,More than 1000,No,Don't know,No,No,North America,2014-08
163,21-30,Male,United States,No,Yes,No,Less than 26,No,Don't know,No,No,North America,2014-08
164,31-40,Female,United States,Yes,Yes,Yes,Less than 26,Yes,Very difficult,Yes,No,North America,2014-08
165,21-30,Female,United Kingdom,Yes,Yes,No,Less than 26,No,Somewhat easy,Yes,No,Europe,2014-08
166,31-40,Male,United States,No,No,No,26-100,No,Very easy,No,No,North America,2014-08
167,41-50,Male,United States,No,No,No,Less than 26,No,Very difficult,Yes,No,North America,2014-08
168,21-30,Male,Ireland,Yes,Yes,No,Less than 26,No,Very difficult,No,No,Europe,2014-08
169,21-30,Male,United Kingdom,No,No,No,100-500,Yes,Very easy,Not sure,No,Europe,2014-08
170,21-30,Male,United Kingdom,No,No,Yes,More than 1000,Don't know,Somewhat easy,Yes,No,Europe,2014-08
171,31-40,Male,United Kingdom,Yes,No,Yes,Less than 26,No,Don't know,No,No,Europe,2014-08
172,21-30,Male,India,No,No,Yes,More than 1000,No,Very difficult,Not sure,No,Asia,2014-08
173,21-30,Female,United States,No,No,No,Less than 26,No,Don't know,No,No,North America,2014-08
174,31-40,Female,Canada,No,Yes,Yes,More than 1000,Yes,Somewhat easy,Yes,No,North America,2014-08
175,31-40,Male,United States,No,No,No,26-100,No,Don't know,Not sure,No,North America,2014-08
176,21-30,Male,United Kingdom,No,No,No,100-500,No,Somewhat easy,Not sure,No,Europe,2014-08
177,31-40,Female,United States,No,No,Yes,Less than 26,Don't know,Very easy,Not sure,Yes,North America,2014-08
178,41-50,Female,United States,No,No,Yes,Less than 26,No,Somewhat difficult,No,No,North America,2014-08
179,31-40,Male,United States,No,No,No,Less than 26,No,Very easy,No,No,North America,2014-08
180,21-30,Male,Mexico,No,No,No,Less than 26,No,Don't know,No,No,North America,2014-08
181,21-30,Female,India,Yes,No,No,Less than 26,No,Somewhat easy,No,No,Asia,2014-08
182,21-30,Female,United Kingdom,No,No,No,26-100,No,Somewhat easy,No,No,Europe,2014-08
183,41-50,Male,United States,No,No,Yes,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
184,41-50,Male,United States,No,Yes,Yes,More than 1000,No,Very difficult,Not sure,No,North America,2014-08
185,31-40,Male,United States,No,No,No,500-1000,No,Don't know,No,No,North America,2014-08
186,21-30,Male,United Kingdom,No,No,No,Less than 26,No,Somewhat easy,No,No,Europe,2014-08
187,21-30,Male,France,No,No,No,Less than 26,No,Somewhat easy,Yes,No,Europe,2014-08
188,21-30,Male,United Kingdom,No,Yes,No,Less than 26,No,Don't know,No,No,Europe,2014-08
189,31-40,Female,United States,No,Yes,Yes,More than 1000,Don't know,Somewhat easy,Not sure,No,North America,2014-08
190,31-40,Female,South Africa,Yes,Yes,Yes,Less than 26,No,Somewhat easy,Yes,Yes,Africa,2014-08
191,21-30,Male,United States,No,Yes,Yes,26-100,No,Somewhat easy,No,No,North America,2014-08
192,21-30,Male,Russia,No,No,No,26-100,No,Don't know,No,No,Europe,2014-08
193,31-40,Male,United States,No,No,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
194,31-40,Female,Germany,No,No,No,100-500,No,Very difficult,No,Yes,Europe,2014-08
195,31-40,Male,Italy,Yes,Yes,No,Less than 26,No,Somewhat easy,No,No,Europe,2014-08
196,31-40,Female,United States,No,No,No,500-1000,No,Don't know,Not sure,No,North America,2014-08
197,21-30,Male,United States,No,No,No,More than 1000,No,Somewhat easy,No,No,North America,2014-08
198,21-30,Male,United States,No,Yes,No,Less than 26,No,Somewhat easy,Yes,No,North America,2014-08
199,21-30,Male,United Kingdom,No,Yes,Yes,More than 1000,No,Don't know,No,No,Europe,2014-08
200,21-30,Female,United States,No,Yes,Yes,26-100,No,Very easy,No,No,North America,2014-08
201,31-40,Female,United States,No,No,Yes,500-1000,Yes,Somewhat easy,Yes,No,North America,2014-08
202,41-50,Male,United States,No,No,Yes,Less than 26,No,Very difficult,Not sure,No,North America,2014-08
203,31-40,Male,Ireland,No,No,No,Less than 26,No,Very difficult,Yes,No,Europe,2014-08
204,31-40,Male,Austria,No,Yes,No,100-500,Don't know,Very easy,No,No,Europe,2014-08
205,31-40,Male,United Kingdom,No,Yes,Yes,100-500,No,Somewhat difficult,Not sure,Yes,Europe,2014-08
206,21-30,Male,Canada,No,No,Yes,Less than 26,No,Somewhat difficult,Yes,No,North America,2014-08
207,21-30,Male,United States,No,No,Yes,26-100,No,Somewhat easy,Yes,No,North America,2014-08
208,21-30,Male,United States,No,No,No,26-100,No,Don't know,Not sure,No,North America,2014-08
209,21-30,Male,Bulgaria,No,No,No,100-500,No,Very easy,No,No,Europe,2014-08
210,31-40,Female,United States,No,No,No,26-100,Yes,Somewhat easy,Yes,No,North America,2014-08
211,31-40,Male,United Kingdom,No,Yes,No,26-100,No,Don't know,No,No,Europe,2014-08
212,21-30,Male,United Kingdom,Yes,No,Yes,Less than 26,No,Don't know,No,No,Europe,2014-08
213,31-40,Female,United States,No,Yes,Yes,Less than 26,No,Don't know,No,Yes,North America,2014-08
214,31-40,Female,United States,No,No,Yes,100-500,Don't know,Very easy,Yes,No,North America,2014-08
215,21-30,Female,United States,Yes,Yes,Yes,Less than 26,Don't know,Very difficult,No,No,North America,2014-08
216,21-30,Male,Germany,Yes,No,Yes,Less than 26,No,Very difficult,Yes,No,Europe,2014-08
217,31-40,Male,Canada,Yes,No,No,Less than 26,No,Very easy,Yes,No,North America,2014-08
218,21-30,Female,United States,No,No,Yes,500-1000,No,Somewhat difficult,No,No,North America,2014-08
219,41-50,Male,United States,No,No,No,26-100,No,Very easy,Not sure,No,North America,2014-08
220,31-40,Female,United States,No,No,No,Less than 26,No,Somewhat easy,No,No,North America,2014-08
221,31-40,Male,United Kingdom,No,No,No,26-100,No,Don't know,No,No,Europe,2014-08
222,21-30,Male,United States,No,No,No,Less than 26,No,Don't know,No,No,North America,2014-08
223,21-30,Male,United States,No,No,Yes,More than 1000,No,Very difficult,Yes,No,North America,2014-08
224,21-30,Male,United States,No,No,No,26-100,Don't know,Don't know,Not sure,No,North America,2014-08
225,21-30,Male,United States,No,No,No,Less than 26,Don't know,Very easy,No,No,North America,2014-08
226,31-40,Male,United States,No,No,No,Less than 26,No,Very difficult,Yes,No,North America,2014-08
227,31-40,Male,Australia,Yes,No,No,Less than 26,Yes,Somewhat difficult,Not sure,No,Oceania,2014-08
228,21-30,Male,United States,No,No,No,Less than 26,No,Very easy,Not sure,No,North America,2014-08
229,21-30,Male,United Kingdom,Yes,No,Yes,Less than 26,No,Don't know,Yes,No,Europe,2014-08
230,31-40,Male,United States,No,No,Yes,26-100,No,Don't know,No,Yes,North America,2014-08
231,41-50,Male,United States,No,No,Yes,500-1000,No,Don't know,Yes,No,North America,2014-08
232,31-40,Male,United Kingdom,No,No,Yes,More than 1000,Don't know,Very difficult,Not sure,No,Europe,2014-08
233,31-40,Male,United States,No,No,No,26-100,No,Don't know,Not sure,No,North America,2014-08
234,21-30,Male,Netherlands,No,No,No,26-100,Don't know,Somewhat easy,No,No,Europe,2014-08
235,21-30,Male,United Kingdom,No,No,No,26-100,No,Somewhat difficult,No,No,Europe,2014-08
236,31-40,Male,Canada,No,Yes,Yes,26-100,No,Don't know,Yes,No,North America,2014-08
237,31-40,Male,United Kingdom,No,Yes,No,Less than 26,No,Somewhat difficult,No,Yes,Europe,2014-08
238,31-40,Female,United States,No,Yes,Yes,More than 1000,Yes,Somewhat easy,Yes,No,North America,2014-08
239,21-30,Female,Canada,No,Yes,Yes,Less than 26,Yes,Don't know,Yes,Yes,North America,2014-08
240,21-30,Male,Sweden,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
241,31-40,Male,United States,No,Yes,Yes,Less than 26,No,Somewhat difficult,No,Yes,North America,2014-08
242,31-40,Male,United States,No,Yes,Yes,26-100,Yes,Somewhat easy,Yes,No,North America,2014-08
243,21-30,Male,South Africa,No,No,No,Less than 26,No,Somewhat difficult,No,No,Africa,2014-08
244,21-30,Male,United States,No,No,No,More than 1000,Don't know,Somewhat easy,Yes,No,North America,2014-08
245,31-40,Male,United States,No,No,Yes,More than 1000,Yes,Don't know,Yes,Yes,North America,2014-08
246,21-30,Male,United States,No,No,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
247,21-30,Male,United Kingdom,No,No,No,Less than 26,No,Very easy,No,No,Europe,2014-08
248,31-40,Male,United States,No,Yes,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
249,21-30,Female,United States,No,Yes,Yes,500-1000,Yes,Don't know,Yes,No,North America,2014-08
250,21-30,Male,United States,No,Yes,Yes,26-100,No,Somewhat easy,No,No,North America,2014-08
251,21-30,Male,United States,No,Yes,No,100-500,No,Somewhat easy,No,Yes,North America,2014-08
252,31-40,Male,United States,No,Yes,Yes,100-500,Yes,Very easy,Yes,No,North America,2014-08
253,21-30,Male,United Kingdom,No,No,No,100-500,Don't know,Very easy,Not sure,No,Europe,2014-08
254,21-30,Male,United States,No,No,No,Less than 26,Don't know,Don't know,No,No,North America,2014-08
255,21-30,Male,Canada,No,No,No,Less than 26,No,Somewhat difficult,No,No,North America,2014-08
256,21-30,Female,United Kingdom,No,No,Yes,Less than 26,Don't know,Don't know,Not sure,No,Europe,2014-08
257,41-50,Male,United States,No,No,No,Less than 26,No,Somewhat easy,Yes,No,North America,2014-08
258,21-30,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
259,21-30,Male,Australia,No,Yes,Yes,Less than 26,No,Very difficult,Yes,Yes,Oceania,2014-08
260,21-30,Female,United States,No,No,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
261,21-30,Male,Canada,No,No,No,Less than 26,No,Very difficult,Yes,No,North America,2014-08
262,21-30,Male,United States,No,No,Yes,100-500,No,Don't know,Yes,No,North America,2014-08
263,21-30,Male,Poland,No,Yes,Yes,Less than 26,No,Very difficult,Yes,No,Europe,2014-08
264,41-50,Male,Canada,Yes,No,No,Less than 26,No,Somewhat easy,Not sure,No,North America,2014-08
265,31-40,Male,United States,No,No,No,Less than 26,No,Very easy,Yes,No,North America,2014-08
266,41-50,Male,United States,No,No,Yes,26-100,Don't know,Very easy,Yes,No,North America,2014-08
267,31-40,Male,United Kingdom,Yes,Yes,Yes,Less than 26,Don't know,Very easy,Not sure,Yes,Europe,2014-08
268,31-40,Female,United States,No,Yes,Yes,26-100,No,Don't know,Yes,No,North America,2014-08
269,31-40,Male,United States,No,No,No,Less than 26,No,Very easy,No,No,North America,2014-08
270,21-30,Male,Ireland,Yes,No,No,Less than 26,No,Somewhat difficult,No,No,Europe,2014-08
271,21-30,Female,United States,No,Yes,Yes,100-500,Don't know,Don't know,No,No,North America,2014-08
272,21-30,Male,United States,No,No,No,More than 1000,Yes,Very easy,Yes,No,North America,2014-08
273,31-40,Male,United Kingdom,No,No,No,26-100,No,Somewhat easy,Yes,No,Europe,2014-08
274,31-40,Male,United States,No,No,Yes,26-100,No,Don't know,No,No,North America,2014-08
275,31-40,Male,Canada,No,No,No,100-500,Yes,Don't know,No,No,North America,2014-08
276,31-40,Male,United States,No,No,No,26-100,No,Don't know,No,No,North America,2014-08
277,21-30,Male,Colombia,No,No,No,Less than 26,No,Somewhat easy,Yes,No,South America,2014-08
278,21-30,Male,United States,No,No,Yes,100-500,Yes,Very easy,Yes,No,North America,2014-08
279,21-30,Male,United States,No,Yes,No,100-500,No,Don't know,No,No,North America,2014-08
280,21-30,Male,Australia,Yes,Yes,Yes,Less than 26,Yes,Somewhat easy,Not sure,Yes,Oceania,2014-08
281,21-30,Male,Portugal,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
282,20 down,Male,United States,No,No,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
283,31-40,Male,United States,No,Yes,Yes,26-100,No,Somewhat difficult,Yes,No,North America,2014-08
284,21-30,Male,Canada,No,No,No,100-500,No,Don't know,Not sure,No,North America,2014-08
